Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Nursing home/long term care facility,17,321,14,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Other,,135,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2022,06/30/2022,By Month,2022,6,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Total - All Places of Death,71,1510,70,11,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,"Healthcare setting, inpatient",25,441,44,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,"Healthcare setting, outpatient or emergency room",0,71,0,0,0,0,
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,"Healthcare setting, dead on arrival",0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Decedent's home,13,409,,0,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Hospice facility,,60,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Nursing home/long term care facility,23,356,11,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Other,,170,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2022,07/31/2022,By Month,2022,7,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Total - All Places of Death,64,1477,76,21,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,"Healthcare setting, inpatient",29,412,48,14,0,63,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,"Healthcare setting, outpatient or emergency room",0,62,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Decedent's home,15,432,11,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Hospice facility,0,56,0,0,0,0,
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Nursing home/long term care facility,15,339,14,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Other,,176,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2022,08/31/2022,By Month,2022,8,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Total - All Places of Death,58,1454,76,16,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,"Healthcare setting, inpatient",23,391,57,14,0,66,
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,"Healthcare setting, outpatient or emergency room",,89,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Decedent's home,,407,,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Hospice facility,,50,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Nursing home/long term care facility,14,337,,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Other,10,179,,0,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2022,09/30/2022,By Month,2022,9,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Total - All Places of Death,45,1603,78,,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,"Healthcare setting, inpatient",17,480,59,,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,"Healthcare setting, outpatient or emergency room",,75,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Decedent's home,,473,,0,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Hospice facility,0,55,0,0,0,0,
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Nursing home/long term care facility,14,352,12,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Other,,168,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2022,10/31/2022,By Month,2022,10,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Total - All Places of Death,91,1543,97,31,,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,"Healthcare setting, inpatient",44,464,71,22,,94,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,"Healthcare setting, outpatient or emergency room",,84,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Decedent's home,12,402,,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Hospice facility,,51,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Nursing home/long term care facility,30,374,11,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Other,,168,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2022,11/30/2022,By Month,2022,11,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Total - All Places of Death,103,1764,130,31,38,236,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,"Healthcare setting, inpatient",46,543,97,24,28,144,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,"Healthcare setting, outpatient or emergency room",,123,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Decedent's home,,460,,0,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Hospice facility,,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Nursing home/long term care facility,36,398,22,,,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Other,,187,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2022,12/31/2022,By Month,2022,12,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Total - All Places of Death,79,1662,117,24,15,187,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,"Healthcare setting, inpatient",35,521,86,19,12,114,
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,"Healthcare setting, outpatient or emergency room",,88,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Decedent's home,,460,11,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Hospice facility,,45,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Nursing home/long term care facility,21,365,13,,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Other,,181,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2023,01/31/2023,By Month,2023,1,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Total - All Places of Death,49,1475,94,18,,128,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,"Healthcare setting, inpatient",24,437,64,13,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,"Healthcare setting, outpatient or emergency room",0,68,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Decedent's home,,384,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Hospice facility,,41,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Nursing home/long term care facility,18,373,21,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Other,,168,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2023,02/28/2023,By Month,2023,2,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Total - All Places of Death,66,1631,109,16,,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,"Healthcare setting, inpatient",28,504,82,14,0,96,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,"Healthcare setting, outpatient or emergency room",,89,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Decedent's home,,430,,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Hospice facility,0,51,0,0,0,0,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Nursing home/long term care facility,24,388,14,0,0,38,
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Other,,166,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2023,03/31/2023,By Month,2023,3,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Total - All Places of Death,58,1572,120,19,,160,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,"Healthcare setting, inpatient",23,467,85,14,0,94,
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,"Healthcare setting, outpatient or emergency room",,79,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Decedent's home,,428,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Hospice facility,,37,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Nursing home/long term care facility,21,383,19,,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Other,,172,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2023,04/30/2023,By Month,2023,4,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Total - All Places of Death,33,1395,90,,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,"Healthcare setting, inpatient",11,428,61,,0,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,"Healthcare setting, outpatient or emergency room",,61,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Decedent's home,,410,10,0,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Hospice facility,0,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Nursing home/long term care facility,13,302,12,0,0,25,
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Other,,148,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2023,05/31/2023,By Month,2023,5,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Total - All Places of Death,,374,23,,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,"Healthcare setting, inpatient",0,106,13,0,0,13,
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,"Healthcare setting, outpatient or emergency room",0,16,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Decedent's home,,102,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Hospice facility,,18,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Nursing home/long term care facility,,109,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Other,,22,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2023,06/24/2023,By Month,2023,6,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Total - All Places of Death,0,2482,166,0,19,185,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,"Healthcare setting, inpatient",0,777,135,0,12,147,
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,"Healthcare setting, outpatient or emergency room",0,215,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Decedent's home,0,858,11,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Hospice facility,0,243,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Nursing home/long term care facility,0,283,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Other,0,104,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,01/31/2020,By Month,2020,1,Nevada,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Total - All Places of Death,0,2273,144,0,18,162,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,"Healthcare setting, inpatient",0,757,114,0,11,125,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,"Healthcare setting, outpatient or emergency room",0,204,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Decedent's home,0,684,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Hospice facility,0,229,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Nursing home/long term care facility,0,307,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Other,0,92,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2020,02/29/2020,By Month,2020,2,Nevada,Place of death unknown,0,0,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,Total - All Places of Death,35,2349,219,28,15,241,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,"Healthcare setting, inpatient",34,745,184,27,10,201,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,"Healthcare setting, outpatient or emergency room",,203,12,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,Decedent's home,0,800,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,Hospice facility,0,238,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,Nursing home/long term care facility,0,266,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,Other,0,97,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,03/01/2020,03/31/2020,By Month,2020,3,Nevada,Place of death unknown,0,0,0,0,0,0,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,Total - All Places of Death,228,2439,325,173,,382,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,"Healthcare setting, inpatient",173,779,259,138,,295,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,"Healthcare setting, outpatient or emergency room",,188,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,Decedent's home,,869,15,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,Hospice facility,24,209,24,18,0,30,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,Nursing home/long term care facility,15,283,18,11,0,22,
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,Other,0,109,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,04/01/2020,04/30/2020,By Month,2020,4,Nevada,Place of death unknown,0,0,0,0,0,0,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,Total - All Places of Death,162,2360,220,111,0,271,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,"Healthcare setting, inpatient",122,703,177,87,0,212,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,"Healthcare setting, outpatient or emergency room",,198,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,Decedent's home,,881,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,Hospice facility,23,195,20,15,0,28,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,Nursing home/long term care facility,,268,10,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,Other,0,113,0,0,0,0,
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,Nevada,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,Total - All Places of Death,91,2325,177,62,,207,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,"Healthcare setting, inpatient",67,668,145,50,0,162,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,"Healthcare setting, outpatient or emergency room",,226,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,Decedent's home,,860,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,Hospice facility,,228,10,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,Nursing home/long term care facility,,221,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,Other,,121,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,Nevada,Place of death unknown,0,0,0,0,0,0,
